"MK Pandey","K Rabada","0","2"
"Yuvraj Singh","R Rampaul","4","1"
"AC Gilchrist","S Tyagi","1","1"
"SB Joshi","I Sharma","0","3"
"KD Karthik","BJ Hodge","4","1"
"KV Sharma","AD Russell","1","2"
"DPMD Jayawardene","PV Tambe","2","1"
"SR Tendulkar","JA Morkel","4","11"
"SS Tiwary","M Muralitharan","1","4"
"M Vijay","NL McCullum","2","1"
"Yuvraj Singh","Shakib Al Hasan","0","5"
"DR Smith","KC Cariappa","1","1"
"BJ Hodge","J Botha","1","3"
"LR Shukla","R Ashwin","4","2"
"PA Patel","BB Sran","1","1"
"Harbhajan Singh","SB Jakati","0","9"
"SK Raina","S Aravind","1","6"
"RV Uthappa","DJ Bravo","2","2"
"DA Miller","AB Agarkar","0","1"
"S Dhawan","BA Bhatt","6","1"
"Yuvraj Singh","JA Morkel","1","3"
"DW Steyn","DP Nannes","4","1"
"Yuvraj Singh","Shoaib Ahmed","0","1"
"CH Gayle","KW Richardson","0","1"
"KS Williamson","Shakib Al Hasan","1","2"
"BA Stokes","Mohammed Siraj","1","2"
"P Kumar","A Singh","0","1"
"ML Hayden","PP Chawla","4","1"
"DR Smith","Z Khan","6","1"
"SA Yadav","BE Hendricks","4","1"
"CJ Anderson","RA Jadeja","6","1"
"V Sehwag","DJ Bravo","1","5"
"M Kaif","AC Thomas","0","1"
"KA Pollard","B Laughlin","1","1"
"MS Dhoni","MJ McClenaghan","0","12"
"SPD Smith","CR Woakes","0","2"
"UBT Chand","CH Gayle","1","1"
"R Ashwin","GB Hogg","0","1"
"PP Chawla","BE Hendricks","0","1"
"MC Henriques","GJ Maxwell","0","3"
"UT Khawaja","J Yadav","2","1"
"SS Iyer","SN Thakur","3","1"
"MC Henriques","R Ashwin","1","1"
"MJ Guptill","Mohammed Shami","1","1"
"Joginder Sharma","Shahid Afridi","1","2"
"AT Rayudu","M Muralitharan","0","6"
"MS Dhoni","T Shamsi","0","1"
"B Kumar","DE Bollinger","0","1"
"Yuvraj Singh","SK Trivedi","0","18"
"SPD Smith","AB Dinda","6","2"
"SE Marsh","JM Kemp","1","2"
"R Vinay Kumar","MR Marsh","2","1"
"S Dhawan","DP Vijaykumar","1","5"
"SS Tiwary","P Awana","0","2"
"Sachin Baby","M Morkel","1","1"
"MR Marsh","J Theron","0","3"
"B Chipli","SL Malinga","0","1"
"JP Duminy","B Kumar","2","3"
"CH Gayle","DW Steyn","1","9"
"SPD Smith","Anureet Singh","0","1"
"NLTC Perera","DS Kulkarni","0","3"
"V Kohli","SK Trivedi","1","11"
"KA Pollard","AS Rajpoot","0","5"
"RA Jadeja","HV Patel","1","1"
"B Sumanth","PD Collingwood","1","2"
"KL Rahul","KH Pandya","0","5"
"RS Bopara","R McLaren","0","1"
"JA Morkel","Mohammad Asif","4","1"
"AT Rayudu","AL Menaria","0","3"
"MA Agarwal","P Awana","0","1"
"DA Miller","STR Binny","2","3"
"R Tewatia","BA Stokes","0","1"
"LMP Simmons","YS Chahal","1","6"
"V Kohli","J Suchith","1","4"
"IK Pathan","Joginder Sharma","0","1"
"SP Narine","Z Khan","0","3"
"RG Sharma","DT Christian","2","1"
"EJG Morgan","M Muralitharan","1","2"
"DA Miller","R Sharma","1","3"
"HV Patel","TA Boult","2","1"
"N Rana","AF Milne","0","1"
"DJ Hooda","NM Coulter-Nile","1","3"
"Harbhajan Singh","PP Ojha","0","2"
"S Sreesanth","MF Maharoof","1","1"
"AD Mathews","AR Patel","4","1"
"GR Napier","CH Gayle","1","2"
"R Dravid","BJ Rohrer","1","2"
"MS Bisla","R Ashwin","2","2"
"YK Pathan","RA Jadeja","1","17"
"MS Bisla","SK Warne","1","5"
"RA Jadeja","BA Stokes","1","1"
"YK Pathan","A Symonds","0","2"
"KC Sangakkara","Y Nagar","4","2"
"W Jaffer","M Morkel","2","1"
"Salman Butt","Sohail Tanvir","1","1"
"DPMD Jayawardene","D Salunkhe","0","2"
"KK Nair","S Aravind","0","1"
"BA Stokes","Rashid Khan","1","3"
"JP Faulkner","KV Sharma","0","3"
"SPD Smith","SB Jakati","6","1"
"BB McCullum","Imran Tahir","6","2"
"SP Narine","Anand Rajan","0","1"
"SR Tendulkar","S Nadeem","1","8"
"M Kartik","PP Ojha","6","1"
"Yuvraj Singh","D Salunkhe","6","1"
"JDS Neesham","AR Patel","0","3"
"SR Watson","S Nadeem","0","13"
"RP Singh","M Muralitharan","1","1"
"DJ Hussey","RA Jadeja","4","1"
"Yuvraj Singh","JDS Neesham","0","2"
"SB Styris","MS Gony","0","2"
"RA Tripathi","KH Pandya","1","1"
"IR Jaggi","B Lee","0","3"
"S Vidyut","Shoaib Malik","0","1"
"AP Tare","SP Narine","0","2"
"NV Ojha","Shakib Al Hasan","6","2"
"S Vidyut","Sohail Tanvir","1","1"
"Y Venugopal Rao","DJ Bravo","0","5"
"Y Venugopal Rao","PP Chawla","2","1"
"DPMD Jayawardene","MR Marsh","4","1"
"HH Gibbs","SB Jakati","0","2"
"AD Mathews","M Morkel","1","4"
"TG Southee","JP Faulkner","0","2"
"V Sehwag","KV Sharma","0","3"
"SV Samson","Basil Thampi","0","1"
"RA Tripathi","SR Watson","0","1"
"S Sohal","RP Singh","1","2"
"IK Pathan","Yuvraj Singh","2","1"
"B Chipli","JA Morkel","2","1"
"A Symonds","RE van der Merwe","2","1"
"MS Dhoni","J Theron","2","2"
"R Sathish","JA Morkel","2","1"
"A Ashish Reddy","TG Southee","6","1"
"SR Watson","DJ Bravo","0","12"
"DA Warner","KC Cariappa","6","2"
"R Sathish","R Ashwin","1","2"
"PA Reddy","MS Gony","4","1"
"AT Rayudu","R Vinay Kumar","2","1"
"RR Pant","KV Sharma","2","1"
"Mandeep Singh","RS Bopara","0","1"
"KA Pollard","J Theron","0","3"
"WPUJC Vaas","A Nehra","1","2"
"Yuvraj Singh","SK Warne","4","2"
"SM Katich","MS Gony","2","1"
"PA Patel","PV Tambe","0","2"
"BB McCullum","ND Doshi","0","1"
"AM Nayar","KK Cooper","6","1"
"SV Samson","Kuldeep Yadav","0","4"
"Basil Thampi","Sandeep Sharma","4","1"
"MJ Clarke","SR Watson","0","3"
"SK Raina","J Theron","1","2"
"DA Miller","R Tewatia","0","1"
"V Kohli","JDP Oram","0","1"
"DA Miller","BAW Mendis","0","2"
"RN ten Doeschate","AN Ahmed","6","1"
"Y Venugopal Rao","RA Jadeja","0","3"
