,index,batsman,bowler,P0,P1,P2,P3,P4,P6,bowler_cluster,batsman_cluster
79,15665,TM Dilshan,GH Vihari,0,0.5,0.5,0,0,0,0.0,8.0
80,15694,TM Dilshan,MK Tiwary,0,1,0,0,0,0,0.0,8.0
81,15729,TM Dilshan,VR Aaron,1,0,0,0,0,0,2.0,8.0
82,15702,TM Dilshan,PP Ojha,0.434782608695652,0.434782608695652,0,0,0.130434782608696,0,5.0,8.0
83,15683,TM Dilshan,K Upadhyay,0,0.571428571428571,0,0,0.428571428571429,0,,8.0
84,15649,TM Dilshan,AD Mathews,0.454545454545455,0.363636363636364,0.0909090909090909,0,0.0909090909090909,0,2.0,8.0
85,15725,TM Dilshan,SR Watson,0.642857142857143,0.142857142857143,0,0,0.214285714285714,0,6.0,8.0
86,15669,TM Dilshan,IC Pandey,0,0.5,0,0,0.5,0,4.0,8.0
87,15661,TM Dilshan,DS Kulkarni,1,0,0,0,0,0,5.0,8.0
88,15711,TM Dilshan,RP Singh,0.625,0.25,0,0,0.104166666666667,0.0208333333333333,5.0,8.0
89,15690,TM Dilshan,M Kartik,0.416666666666667,0.5,0.0833333333333333,0,0,0,3.0,8.0
90,15654,TM Dilshan,B Akhil,0.285714285714286,0.428571428571429,0.142857142857143,0,0.142857142857143,0,0.0,8.0
91,15651,TM Dilshan,AJ Finch,0,1,0,0,0,0,0.0,8.0
92,15642,TM Dilshan,A Nehra,0,1,0,0,0,0,5.0,8.0
93,15671,TM Dilshan,Iqbal Abdulla,0.75,0,0,0,0.25,0,2.0,8.0
94,15670,TM Dilshan,IK Pathan,0.4,0,0.2,0,0.4,0,6.0,8.0
95,15637,TM Dilshan,A Ashish Reddy,0.642857142857143,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,4.0,8.0
96,15657,TM Dilshan,BJ Hodge,0.5,0.5,0,0,0,0,4.0,8.0
97,15659,TM Dilshan,DP Vijaykumar,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.0,8.0
98,15727,TM Dilshan,SW Tait,0.25,0.5,0,0,0.25,0,4.0,8.0
99,15686,TM Dilshan,KK Cooper,0.384615384615385,0.307692307692308,0.153846153846154,0,0.153846153846154,0,2.0,8.0
100,15664,TM Dilshan,GB Hogg,0.375,0.375,0.0625,0,0.1875,0,4.0,8.0
101,15720,TM Dilshan,Shoaib Ahmed,0.307692307692308,0.153846153846154,0.153846153846154,0,0.307692307692308,0.0769230769230769,0.0,8.0
102,15676,TM Dilshan,JEC Franklin,0,1,0,0,0,0,0.0,8.0
103,15708,TM Dilshan,RA Jadeja,0.375,0.375,0.125,0,0.125,0,6.0,8.0
104,15678,TM Dilshan,JM Kemp,1,0,0,0,0,0,0.0,8.0
105,15731,TM Dilshan,WPUJC Vaas,0.285714285714286,0.428571428571429,0,0,0.285714285714286,0,4.0,8.0
106,15663,TM Dilshan,FH Edwards,0.4,0.2,0.1,0,0.2,0.1,0.0,8.0
107,15723,TM Dilshan,SK Warne,0.380952380952381,0.428571428571429,0.0952380952380952,0,0.0952380952380952,0,3.0,8.0
108,15681,TM Dilshan,JP Faulkner,0.6,0.2,0,0,0.2,0,3.0,8.0
109,15730,TM Dilshan,VRV Singh,0,0.5,0.25,0,0.25,0,4.0,8.0
110,15644,TM Dilshan,A Symonds,0.6,0.133333333333333,0.0666666666666667,0,0.2,0,2.0,8.0
111,15687,TM Dilshan,KP Appanna,0.416666666666667,0.5,0,0,0.0833333333333333,0,4.0,8.0
112,15650,TM Dilshan,AG Murtaza,0.3,0.6,0,0,0.1,0,4.0,8.0
113,15647,TM Dilshan,AC Thomas,0.5,0.416666666666667,0,0,0.0833333333333333,0,4.0,8.0
114,15662,TM Dilshan,DW Steyn,0.708333333333333,0.125,0.125,0,0.0416666666666667,0,5.0,8.0
115,15673,TM Dilshan,JA Morkel,0.571428571428571,0.142857142857143,0.0714285714285714,0,0.214285714285714,0,5.0,8.0
116,15710,TM Dilshan,RJ Harris,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,2.0,8.0
117,15726,TM Dilshan,ST Jayasuriya,0,1,0,0,0,0,4.0,8.0
118,15701,TM Dilshan,PP Chawla,1,0,0,0,0,0,1.0,8.0
119,15695,TM Dilshan,MM Patel,0.625,0.25,0.05,0,0.075,0,3.0,8.0
120,15698,TM Dilshan,P Kumar,0.6,0,0,0,0.4,0,1.0,8.0
121,15680,TM Dilshan,JP Duminy,0.545454545454545,0.454545454545455,0,0,0,0,2.0,8.0
122,15718,TM Dilshan,SC Ganguly,0.4,0.4,0,0,0.2,0,4.0,8.0
123,15721,TM Dilshan,Shoaib Akhtar,0.666666666666667,0,0,0,0.333333333333333,0,0.0,8.0
124,15734,TM Dilshan,Z Khan,0.2,0.6,0,0,0.2,0,6.0,8.0
125,15682,TM Dilshan,JR Hopes,1,0,0,0,0,0,4.0,8.0
126,15693,TM Dilshan,MG Johnson,0.727272727272727,0.181818181818182,0,0,0.0909090909090909,0,3.0,8.0
127,5865,J Botha,TM Dilshan,0,1,0,0,0,0,4.0,9.0
128,5833,J Botha,KA Pollard,0.166666666666667,0.5,0.333333333333333,0,0,0,3.0,9.0
129,5839,J Botha,M Muralitharan,0,0,0,0,1,0,3.0,9.0
130,5816,J Botha,AR Patel,0,1,0,0,0,0,3.0,9.0
131,5819,J Botha,B Lee,0,0.714285714285714,0.285714285714286,0,0,0,2.0,9.0
132,5818,J Botha,B Kumar,0.5,0,0,0,0,0.5,6.0,9.0
133,5848,J Botha,R Ashwin,0.5,0.5,0,0,0,0,6.0,9.0
134,5808,J Botha,AB Agarkar,0.666666666666667,0,0,0,0.333333333333333,0,2.0,9.0
135,5841,J Botha,MF Maharoof,0.125,0.625,0,0,0.25,0,4.0,9.0
136,5857,J Botha,S Aravind,0.5,0.5,0,0,0,0,2.0,9.0
137,5814,J Botha,Anand Rajan,0.75,0,0.125,0,0.125,0,0.0,9.0
