"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"126","AB de Villiers","KA Pollard",2,16,0.125,0.875
"127","AB de Villiers","KC Cariappa",1,11,0.0909090909090909,0.909090909090909
"128","AB de Villiers","KH Pandya",2,11,0.181818181818182,0.818181818181818
"129","AB de Villiers","KJ Abbott",1,2,0.5,0.5
"130","AB de Villiers","KP Appanna",1,8,0.125,0.875
"131","AB de Villiers","KW Richardson",1,6,0.166666666666667,0.833333333333333
"132","AB de Villiers","L Balaji",3,29,0.103448275862069,0.896551724137931
"133","AB de Villiers","MC Henriques",1,29,0.0344827586206897,0.96551724137931
"134","AB de Villiers","MM Sharma",1,6,0.166666666666667,0.833333333333333
"135","AB de Villiers","MR Marsh",1,4,0.25,0.75
"136","AB de Villiers","MS Gony",1,24,0.0416666666666667,0.958333333333333
"137","AB de Villiers","Mustafizur Rahman",1,12,0.0833333333333333,0.916666666666667
"138","AB de Villiers","NLTC Perera",1,6,0.166666666666667,0.833333333333333
"139","AB de Villiers","P Awana",1,11,0.0909090909090909,0.909090909090909
"140","AB de Villiers","PP Chawla",4,44,0.0909090909090909,0.909090909090909
"141","AB de Villiers","PV Tambe",1,32,0.03125,0.96875
"142","AB de Villiers","R Ashwin",2,35,0.0571428571428571,0.942857142857143
"143","AB de Villiers","R Dhawan",1,6,0.166666666666667,0.833333333333333
"144","AB de Villiers","R Sharma",1,12,0.0833333333333333,0.916666666666667
"145","AB de Villiers","R Vinay Kumar",1,20,0.05,0.95
"146","AB de Villiers","RE van der Merwe",1,5,0.2,0.8
"147","AB de Villiers","RP Singh",1,12,0.0833333333333333,0.916666666666667
"148","AB de Villiers","S Kaul",1,14,0.0714285714285714,0.928571428571429
"149","AB de Villiers","S Sreesanth",2,16,0.125,0.875
"150","AB de Villiers","S Tyagi",1,1,1,0
"151","AB de Villiers","Sandeep Sharma",1,17,0.0588235294117647,0.941176470588235
"152","AB de Villiers","SB Jakati",2,30,0.0666666666666667,0.933333333333333
"153","AB de Villiers","Shoaib Ahmed",1,6,0.166666666666667,0.833333333333333
"154","AB de Villiers","Shoaib Akhtar",1,9,0.111111111111111,0.888888888888889
"155","AB de Villiers","SK Trivedi",1,26,0.0384615384615385,0.961538461538462
"156","AB de Villiers","SK Warne",2,38,0.0526315789473684,0.947368421052632
"157","AB de Villiers","SP Narine",1,19,0.0526315789473684,0.947368421052632
"158","AB de Villiers","SR Watson",1,46,0.0217391304347826,0.978260869565217
"159","AB de Villiers","TA Boult",1,2,0.5,0.5
"160","AB de Villiers","Z Khan",1,21,0.0476190476190476,0.952380952380952
"161","AB Dinda","A Mishra",1,1,1,0
"162","AB Dinda","DW Steyn",1,2,0.5,0.5
"163","AB Dinda","PV Tambe",1,3,0.333333333333333,0.666666666666667
"164","AB Dinda","RP Singh",1,3,0.333333333333333,0.666666666666667
"165","AB Dinda","SL Malinga",2,6,0.333333333333333,0.666666666666667
"166","AB Dinda","SR Watson",1,1,1,0
"167","AB McDonald","A Kumble",1,2,0.5,0.5
"168","AB McDonald","Azhar Mahmood",1,3,0.333333333333333,0.666666666666667
"169","AB McDonald","DE Bollinger",1,2,0.5,0.5
"170","AB McDonald","M Morkel",1,3,0.333333333333333,0.666666666666667
"171","AB McDonald","S Nadeem",1,2,0.5,0.5
"172","AC Blizzard","AC Thomas",1,4,0.25,0.75
"173","AC Blizzard","B Lee",1,10,0.1,0.9
"174","AC Blizzard","IK Pathan",1,7,0.142857142857143,0.857142857142857
"175","AC Blizzard","JP Duminy",1,4,0.25,0.75
"176","AC Blizzard","P Kumar",1,7,0.142857142857143,0.857142857142857
"177","AC Blizzard","S Aravind",1,1,1,0
"178","AC Blizzard","S Nadeem",1,5,0.2,0.8
"179","AC Gilchrist","A Kumble",3,38,0.0789473684210526,0.921052631578947
"180","AC Gilchrist","A Mishra",2,33,0.0606060606060606,0.939393939393939
"181","AC Gilchrist","A Nehra",1,54,0.0185185185185185,0.981481481481482
"182","AC Gilchrist","A Singh",1,5,0.2,0.8
"183","AC Gilchrist","AB Agarkar",1,20,0.05,0.95
"184","AC Gilchrist","AB Dinda",2,31,0.0645161290322581,0.935483870967742
"185","AC Gilchrist","AC Thomas",1,3,0.333333333333333,0.666666666666667
"186","AC Gilchrist","AD Mathews",2,19,0.105263157894737,0.894736842105263
"187","AC Gilchrist","AP Dole",1,7,0.142857142857143,0.857142857142857
"188","AC Gilchrist","B Akhil",1,12,0.0833333333333333,0.916666666666667
"189","AC Gilchrist","B Kumar",1,12,0.0833333333333333,0.916666666666667
"190","AC Gilchrist","BJ Hodge",2,10,0.2,0.8
"191","AC Gilchrist","CK Langeveldt",1,23,0.0434782608695652,0.956521739130435
"192","AC Gilchrist","CRD Fernando",1,2,0.5,0.5
"193","AC Gilchrist","DE Bollinger",1,13,0.0769230769230769,0.923076923076923
"194","AC Gilchrist","DJ Bravo",1,25,0.04,0.96
"195","AC Gilchrist","DJG Sammy",1,1,1,0
"196","AC Gilchrist","DP Nannes",2,25,0.08,0.92
"197","AC Gilchrist","DT Christian",1,12,0.0833333333333333,0.916666666666667
"198","AC Gilchrist","DW Steyn",1,56,0.0178571428571429,0.982142857142857
"199","AC Gilchrist","GD McGrath",1,7,0.142857142857143,0.857142857142857
"200","AC Gilchrist","Harbhajan Singh",2,27,0.0740740740740741,0.925925925925926
"201","AC Gilchrist","IK Pathan",4,44,0.0909090909090909,0.909090909090909
"202","AC Gilchrist","Iqbal Abdulla",1,9,0.111111111111111,0.888888888888889
"203","AC Gilchrist","JA Morkel",3,35,0.0857142857142857,0.914285714285714
"204","AC Gilchrist","KK Cooper",1,5,0.2,0.8
"205","AC Gilchrist","KP Pietersen",1,5,0.2,0.8
"206","AC Gilchrist","KV Sharma",1,3,0.333333333333333,0.666666666666667
"207","AC Gilchrist","M Kartik",1,11,0.0909090909090909,0.909090909090909
"208","AC Gilchrist","M Morkel",1,38,0.0263157894736842,0.973684210526316
"209","AC Gilchrist","Mohammad Asif",1,12,0.0833333333333333,0.916666666666667
"210","AC Gilchrist","MS Gony",1,22,0.0454545454545455,0.954545454545455
"211","AC Gilchrist","NM Coulter-Nile",1,7,0.142857142857143,0.857142857142857
"212","AC Gilchrist","PJ Sangwan",1,8,0.125,0.875
"213","AC Gilchrist","R Ashwin",2,45,0.0444444444444444,0.955555555555556
"214","AC Gilchrist","R Bhatia",1,6,0.166666666666667,0.833333333333333
"215","AC Gilchrist","R Sharma",1,3,0.333333333333333,0.666666666666667
"216","AC Gilchrist","R Vinay Kumar",1,15,0.0666666666666667,0.933333333333333
"217","AC Gilchrist","RA Jadeja",1,3,0.333333333333333,0.666666666666667
"218","AC Gilchrist","RP Singh",1,12,0.0833333333333333,0.916666666666667
"219","AC Gilchrist","RR Powar",2,12,0.166666666666667,0.833333333333333
"220","AC Gilchrist","RR Raje",1,5,0.2,0.8
"221","AC Gilchrist","S Ladda",1,8,0.125,0.875
"222","AC Gilchrist","S Narwal",1,3,0.333333333333333,0.666666666666667
"223","AC Gilchrist","S Sreesanth",2,31,0.0645161290322581,0.935483870967742
"224","AC Gilchrist","SJ Srivastava",1,3,0.333333333333333,0.666666666666667
"225","AC Gilchrist","SK Raina",1,1,1,0
"226","AC Gilchrist","SK Trivedi",1,23,0.0434782608695652,0.956521739130435
"227","AC Gilchrist","SL Malinga",1,32,0.03125,0.96875
"228","AC Gilchrist","SMSM Senanayake",1,16,0.0625,0.9375
"229","AC Gilchrist","SP Narine",1,13,0.0769230769230769,0.923076923076923
"230","AC Gilchrist","SR Watson",1,24,0.0416666666666667,0.958333333333333
"231","AC Gilchrist","UT Yadav",1,4,0.25,0.75
"232","AC Gilchrist","VR Aaron",1,3,0.333333333333333,0.666666666666667
"233","AC Gilchrist","YK Pathan",2,41,0.0487804878048781,0.951219512195122
"234","AC Gilchrist","Z Khan",2,33,0.0606060606060606,0.939393939393939
"235","AC Thomas","R Vinay Kumar",1,1,1,0
"236","AC Voges","A Mishra",1,5,0.2,0.8
"237","AC Voges","AB Dinda",1,5,0.2,0.8
"238","AC Voges","JA Morkel",1,3,0.333333333333333,0.666666666666667
"239","AC Voges","Z Khan",1,2,0.5,0.5
"240","AD Mascarenhas","Anureet Singh",1,3,0.333333333333333,0.666666666666667
"241","AD Mascarenhas","JDP Oram",1,4,0.25,0.75
"242","AD Mascarenhas","MN Samuels",1,2,0.5,0.5
