"","batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"2579","MC Henriques","SR Watson",1,15,0.0666666666666667,0.933333333333333
"2580","MC Henriques","TG Southee",1,5,0.2,0.8
"2581","MC Henriques","UT Yadav",1,14,0.0714285714285714,0.928571428571429
"2582","MC Juneja","A Mishra",1,11,0.0909090909090909,0.909090909090909
"2583","MC Juneja","Harmeet Singh",1,2,0.5,0.5
"2584","MC Juneja","JD Unadkat",1,5,0.2,0.8
"2585","MC Juneja","KK Cooper",1,7,0.142857142857143,0.857142857142857
"2586","MC Juneja","L Balaji",1,7,0.142857142857143,0.857142857142857
"2587","MC Juneja","MM Sharma",1,3,0.333333333333333,0.666666666666667
"2588","MD Mishra","A Mishra",1,8,0.125,0.875
"2589","MD Mishra","AB Dinda",1,2,0.5,0.5
"2590","MD Mishra","AD Mathews",1,5,0.2,0.8
"2591","MD Mishra","AG Murtaza",1,3,0.333333333333333,0.666666666666667
"2592","MD Mishra","DE Bollinger",1,15,0.0666666666666667,0.933333333333333
"2593","MD Mishra","JA Morkel",1,11,0.0909090909090909,0.909090909090909
"2594","MD Mishra","KA Pollard",1,8,0.125,0.875
"2595","MD Mishra","P Kumar",2,7,0.285714285714286,0.714285714285714
"2596","MD Mishra","R Ashwin",1,10,0.1,0.9
"2597","MD Mishra","SB Jakati",1,2,0.5,0.5
"2598","MD Mishra","SL Malinga",1,1,1,0
"2599","MD Mishra","VS Malik",1,8,0.125,0.875
"2600","MD Mishra","Z Khan",1,6,0.166666666666667,0.833333333333333
"2601","MDKJ Perera","B Kumar",1,1,1,0
"2602","MDKJ Perera","UT Yadav",1,4,0.25,0.75
"2603","MEK Hussey","A Mishra",1,25,0.04,0.96
"2604","MEK Hussey","A Symonds",1,2,0.5,0.5
"2605","MEK Hussey","Ankit Sharma",1,11,0.0909090909090909,0.909090909090909
"2606","MEK Hussey","AR Patel",1,5,0.2,0.8
"2607","MEK Hussey","BW Hilfenhaus",1,2,0.5,0.5
"2608","MEK Hussey","D Wiese",1,11,0.0909090909090909,0.909090909090909
"2609","MEK Hussey","DS Kulkarni",1,19,0.0526315789473684,0.947368421052632
"2610","MEK Hussey","Harbhajan Singh",1,46,0.0217391304347826,0.978260869565217
"2611","MEK Hussey","Harmeet Singh",1,6,0.166666666666667,0.833333333333333
"2612","MEK Hussey","IK Pathan",2,37,0.0540540540540541,0.945945945945946
"2613","MEK Hussey","J Botha",1,33,0.0303030303030303,0.96969696969697
"2614","MEK Hussey","J Syed Mohammad",1,11,0.0909090909090909,0.909090909090909
"2615","MEK Hussey","JA Morkel",1,6,0.166666666666667,0.833333333333333
"2616","MEK Hussey","JD Unadkat",1,8,0.125,0.875
"2617","MEK Hussey","JE Taylor",1,14,0.0714285714285714,0.928571428571429
"2618","MEK Hussey","JEC Franklin",1,2,0.5,0.5
"2619","MEK Hussey","JH Kallis",1,40,0.025,0.975
"2620","MEK Hussey","KK Cooper",1,19,0.0526315789473684,0.947368421052632
"2621","MEK Hussey","KW Richardson",1,3,0.333333333333333,0.666666666666667
"2622","MEK Hussey","L Balaji",2,44,0.0454545454545455,0.954545454545455
"2623","MEK Hussey","M Kartik",1,15,0.0666666666666667,0.933333333333333
"2624","MEK Hussey","MJ McClenaghan",1,8,0.125,0.875
"2625","MEK Hussey","NLTC Perera",1,6,0.166666666666667,0.833333333333333
"2626","MEK Hussey","P Kumar",1,20,0.05,0.95
"2627","MEK Hussey","PP Chawla",1,20,0.05,0.95
"2628","MEK Hussey","PP Ojha",1,19,0.0526315789473684,0.947368421052632
"2629","MEK Hussey","R Vinay Kumar",2,23,0.0869565217391304,0.91304347826087
"2630","MEK Hussey","RA Jadeja",2,12,0.166666666666667,0.833333333333333
"2631","MEK Hussey","RP Singh",1,26,0.0384615384615385,0.961538461538462
"2632","MEK Hussey","Sandeep Sharma",1,6,0.166666666666667,0.833333333333333
"2633","MEK Hussey","SL Malinga",2,37,0.0540540540540541,0.945945945945946
"2634","MEK Hussey","SP Narine",3,44,0.0681818181818182,0.931818181818182
"2635","MEK Hussey","STR Binny",1,23,0.0434782608695652,0.956521739130435
"2636","MEK Hussey","UT Yadav",1,21,0.0476190476190476,0.952380952380952
"2637","MEK Hussey","V Sehwag",1,10,0.1,0.9
"2638","MEK Hussey","VR Aaron",1,8,0.125,0.875
"2639","MEK Hussey","Z Khan",4,36,0.111111111111111,0.888888888888889
"2640","MF Maharoof","B Lee",1,9,0.111111111111111,0.888888888888889
"2641","MF Maharoof","Iqbal Abdulla",1,6,0.166666666666667,0.833333333333333
"2642","MF Maharoof","JR Hopes",1,1,1,0
"2643","MF Maharoof","L Ablish",1,2,0.5,0.5
"2644","MF Maharoof","PP Ojha",1,6,0.166666666666667,0.833333333333333
"2645","MF Maharoof","SK Warne",1,7,0.142857142857143,0.857142857142857
"2646","MF Maharoof","SR Watson",1,2,0.5,0.5
"2647","MF Maharoof","ST Jayasuriya",1,8,0.125,0.875
"2648","MG Johnson","B Kumar",1,6,0.166666666666667,0.833333333333333
"2649","MG Johnson","CH Morris",1,16,0.0625,0.9375
"2650","MG Johnson","DJ Bravo",2,4,0.5,0.5
"2651","MG Johnson","JP Faulkner",3,7,0.428571428571429,0.571428571428571
"2652","MG Johnson","M Morkel",1,2,0.5,0.5
"2653","MG Johnson","MA Starc",1,5,0.2,0.8
"2654","MG Johnson","MJ McClenaghan",1,2,0.5,0.5
"2655","MG Johnson","RA Jadeja",1,1,1,0
"2656","MG Johnson","SP Narine",2,17,0.117647058823529,0.882352941176471
"2657","Misbah-ul-Haq","CRD Fernando",1,1,1,0
"2658","Misbah-ul-Haq","DB Ravi Teja",1,1,1,0
"2659","Misbah-ul-Haq","L Balaji",1,3,0.333333333333333,0.666666666666667
"2660","Misbah-ul-Haq","MM Patel",1,1,1,0
"2661","Misbah-ul-Haq","PP Chawla",1,4,0.25,0.75
"2662","Misbah-ul-Haq","Shahid Afridi",1,1,1,0
"2663","MJ Clarke","Harbhajan Singh",1,9,0.111111111111111,0.888888888888889
"2664","MJ Clarke","M de Lange",1,1,1,0
"2665","MJ Clarke","R Vinay Kumar",1,8,0.125,0.875
"2666","MJ Clarke","STR Binny",1,1,1,0
"2667","MJ Clarke","YK Pathan",1,4,0.25,0.75
"2668","MJ Guptill","B Kumar",1,4,0.25,0.75
"2669","MJ Guptill","DR Smith",1,3,0.333333333333333,0.666666666666667
"2670","MJ Guptill","Z Khan",1,9,0.111111111111111,0.888888888888889
"2671","MJ Lumb","A Kumble",1,7,0.142857142857143,0.857142857142857
"2672","MJ Lumb","AB Dinda",1,1,1,0
"2673","MJ Lumb","DS Kulkarni",1,4,0.25,0.75
"2674","MJ Lumb","JA Morkel",2,16,0.125,0.875
"2675","MJ Lumb","MF Maharoof",1,2,0.5,0.5
"2676","MJ Lumb","PP Chawla",1,10,0.1,0.9
"2677","MJ Lumb","RP Singh",1,9,0.111111111111111,0.888888888888889
"2678","MJ Lumb","RS Bopara",1,2,0.5,0.5
"2679","MJ Lumb","SL Malinga",1,2,0.5,0.5
"2680","MJ McClenaghan","Imran Tahir",1,1,1,0
"2681","MJ McClenaghan","Kuldeep Yadav",1,4,0.25,0.75
"2682","MJ McClenaghan","Mustafizur Rahman",1,6,0.166666666666667,0.833333333333333
"2683","MJ McClenaghan","Sandeep Sharma",1,2,0.5,0.5
"2684","MK Pandey","A Mishra",2,38,0.0526315789473684,0.947368421052632
"2685","MK Pandey","AB Dinda",2,12,0.166666666666667,0.833333333333333
"2686","MK Pandey","AB McDonald",1,6,0.166666666666667,0.833333333333333
"2687","MK Pandey","AD Mathews",1,3,0.333333333333333,0.666666666666667
"2688","MK Pandey","Ankit Sharma",1,6,0.166666666666667,0.833333333333333
"2689","MK Pandey","AR Patel",2,27,0.0740740740740741,0.925925925925926
"2690","MK Pandey","B Kumar",2,13,0.153846153846154,0.846153846153846
"2691","MK Pandey","CRD Fernando",1,8,0.125,0.875
"2692","MK Pandey","DJ Bravo",2,12,0.166666666666667,0.833333333333333
"2693","MK Pandey","DJ Muthuswami",1,3,0.333333333333333,0.666666666666667
"2694","MK Pandey","DL Vettori",1,10,0.1,0.9
"2695","MK Pandey","DR Smith",1,2,0.5,0.5
"2696","MK Pandey","DS Kulkarni",1,14,0.0714285714285714,0.928571428571429
"2697","MK Pandey","GJ Maxwell",1,5,0.2,0.8
"2698","MK Pandey","Harbhajan Singh",4,55,0.0727272727272727,0.927272727272727
"2699","MK Pandey","Harmeet Singh",1,5,0.2,0.8
"2700","MK Pandey","Iqbal Abdulla",2,22,0.0909090909090909,0.909090909090909
"2701","MK Pandey","J Theron",1,2,0.5,0.5
"2702","MK Pandey","JA Morkel",2,24,0.0833333333333333,0.916666666666667
"2703","MK Pandey","KA Pollard",1,26,0.0384615384615385,0.961538461538462
"2704","MK Pandey","Karanveer Singh",1,21,0.0476190476190476,0.952380952380952
"2705","MK Pandey","KV Sharma",2,39,0.0512820512820513,0.948717948717949
"2706","MK Pandey","M Muralitharan",1,11,0.0909090909090909,0.909090909090909
"2707","MK Pandey","P Kumar",3,14,0.214285714285714,0.785714285714286
"2708","MK Pandey","P Negi",1,11,0.0909090909090909,0.909090909090909
"2709","MK Pandey","PP Chawla",1,9,0.111111111111111,0.888888888888889
"2710","MK Pandey","PP Ojha",2,57,0.0350877192982456,0.964912280701754
"2711","MK Pandey","PV Tambe",2,7,0.285714285714286,0.714285714285714
"2712","MK Pandey","R Ashwin",1,24,0.0416666666666667,0.958333333333333
"2713","MK Pandey","RA Jadeja",1,9,0.111111111111111,0.888888888888889
"2714","MK Pandey","RJ Harris",2,42,0.0476190476190476,0.952380952380952
"2715","MK Pandey","S Aravind",1,8,0.125,0.875
"2716","MK Pandey","S Nadeem",2,28,0.0714285714285714,0.928571428571429
"2717","MK Pandey","Sandeep Sharma",2,25,0.08,0.92
"2718","MK Pandey","SB Jakati",1,9,0.111111111111111,0.888888888888889
"2719","MK Pandey","SK Trivedi",2,13,0.153846153846154,0.846153846153846
"2720","MK Pandey","SL Malinga",4,35,0.114285714285714,0.885714285714286
"2721","MK Pandey","Sohail Tanvir",1,4,0.25,0.75
"2722","MK Pandey","SR Watson",1,19,0.0526315789473684,0.947368421052632
"2723","MK Pandey","T Thushara",1,4,0.25,0.75
"2724","MK Pandey","TG Southee",1,9,0.111111111111111,0.888888888888889
"2725","MK Pandey","Yuvraj Singh",1,6,0.166666666666667,0.833333333333333
"2726","MK Pandey","Z Khan",1,30,0.0333333333333333,0.966666666666667
"2727","MK Tiwary","AB McDonald",1,1,1,0
"2728","MK Tiwary","B Kumar",2,17,0.117647058823529,0.882352941176471
"2729","MK Tiwary","BA Bhatt",1,13,0.0769230769230769,0.923076923076923
"2730","MK Tiwary","DS Kulkarni",1,18,0.0555555555555556,0.944444444444444
"2731","MK Tiwary","DW Steyn",1,22,0.0454545454545455,0.954545454545455
"2732","MK Tiwary","GB Hogg",1,9,0.111111111111111,0.888888888888889
"2733","MK Tiwary","IC Pandey",1,2,0.5,0.5
"2734","MK Tiwary","IK Pathan",1,23,0.0434782608695652,0.956521739130435
"2735","MK Tiwary","J Botha",1,29,0.0344827586206897,0.96551724137931
"2736","MK Tiwary","JA Morkel",1,18,0.0555555555555556,0.944444444444444
"2737","MK Tiwary","JH Kallis",1,11,0.0909090909090909,0.909090909090909
"2738","MK Tiwary","KA Pollard",1,27,0.037037037037037,0.962962962962963
"2739","MK Tiwary","L Balaji",1,5,0.2,0.8
"2740","MK Tiwary","M de Lange",1,8,0.125,0.875
"2741","MK Tiwary","M Morkel",4,20,0.2,0.8
"2742","MK Tiwary","MM Patel",2,15,0.133333333333333,0.866666666666667
"2743","MK Tiwary","MS Gony",1,13,0.0769230769230769,0.923076923076923
"2744","MK Tiwary","P Awana",1,1,1,0
"2745","MK Tiwary","PP Chawla",1,56,0.0178571428571429,0.982142857142857
"2746","MK Tiwary","PP Ojha",1,27,0.037037037037037,0.962962962962963
"2747","MK Tiwary","R Ashwin",1,12,0.0833333333333333,0.916666666666667
"2748","MK Tiwary","R Vinay Kumar",2,15,0.133333333333333,0.866666666666667
"2749","MK Tiwary","RA Jadeja",2,26,0.0769230769230769,0.923076923076923
"2750","MK Tiwary","RE van der Merwe",1,8,0.125,0.875
"2751","MK Tiwary","RP Singh",1,16,0.0625,0.9375
"2752","MK Tiwary","S Nadeem",1,11,0.0909090909090909,0.909090909090909
"2753","MK Tiwary","S Randiv",1,11,0.0909090909090909,0.909090909090909
"2754","MK Tiwary","Shoaib Akhtar",1,2,0.5,0.5
"2755","MK Tiwary","SK Raina",1,10,0.1,0.9
"2756","MK Tiwary","SK Trivedi",1,13,0.0769230769230769,0.923076923076923
"2757","MK Tiwary","SL Malinga",1,24,0.0416666666666667,0.958333333333333
"2758","MK Tiwary","VR Aaron",1,4,0.25,0.75
"2759","MK Tiwary","VRV Singh",1,7,0.142857142857143,0.857142857142857
"2760","MK Tiwary","WPUJC Vaas",1,1,1,0
"2761","MK Tiwary","YK Pathan",1,13,0.0769230769230769,0.923076923076923
"2762","MK Tiwary","Z Khan",1,8,0.125,0.875
"2763","ML Hayden","A Kumble",2,37,0.0540540540540541,0.945945945945946
"2764","ML Hayden","A Mishra",1,7,0.142857142857143,0.857142857142857
"2765","ML Hayden","A Nehra",1,24,0.0416666666666667,0.958333333333333
"2766","ML Hayden","CH Gayle",1,2,0.5,0.5
"2767","ML Hayden","Harbhajan Singh",1,45,0.0222222222222222,0.977777777777778
"2768","ML Hayden","Harmeet Singh",1,1,1,0
"2769","ML Hayden","I Sharma",1,13,0.0769230769230769,0.923076923076923
"2770","ML Hayden","IK Pathan",1,21,0.0476190476190476,0.952380952380952
"2771","ML Hayden","J Theron",1,2,0.5,0.5
"2772","ML Hayden","KA Pollard",2,6,0.333333333333333,0.666666666666667
"2773","ML Hayden","PJ Sangwan",2,18,0.111111111111111,0.888888888888889
"2774","ML Hayden","PP Ojha",1,4,0.25,0.75
"2775","ML Hayden","R Vinay Kumar",1,19,0.0526315789473684,0.947368421052632
"2776","ML Hayden","RJ Harris",1,19,0.0526315789473684,0.947368421052632
"2777","ML Hayden","RR Powar",2,14,0.142857142857143,0.857142857142857
"2778","ML Hayden","S Sreesanth",1,20,0.05,0.95
"2779","ML Hayden","SB Wagh",1,5,0.2,0.8
"2780","ML Hayden","Shoaib Ahmed",1,6,0.166666666666667,0.833333333333333
"2781","ML Hayden","SK Warne",1,13,0.0769230769230769,0.923076923076923
"2782","ML Hayden","ST Jayasuriya",1,7,0.142857142857143,0.857142857142857
"2783","ML Hayden","WPUJC Vaas",1,2,0.5,0.5
"2784","ML Hayden","YK Pathan",2,30,0.0666666666666667,0.933333333333333
"2785","ML Hayden","Z Khan",1,27,0.037037037037037,0.962962962962963
"2786","MM Patel","A Kumble",1,4,0.25,0.75
"2787","MM Patel","BA Bhatt",1,1,1,0
"2788","MM Patel","JDP Oram",1,1,1,0
"2789","MM Sharma","AD Russell",1,2,0.5,0.5
"2790","MM Sharma","M Morkel",1,3,0.333333333333333,0.666666666666667
"2791","MM Sharma","MA Starc",1,4,0.25,0.75
"2792","MM Sharma","P Kumar",1,2,0.5,0.5
"2793","MM Sharma","SL Malinga",1,5,0.2,0.8
"2794","MM Sharma","Z Khan",1,1,1,0
"2795","MN Samuels","A Ashish Reddy",1,3,0.333333333333333,0.666666666666667
"2796","MN Samuels","AD Mascarenhas",1,9,0.111111111111111,0.888888888888889
"2797","MN Samuels","Harmeet Singh",1,7,0.142857142857143,0.857142857142857
"2798","MN Samuels","NLTC Perera",1,4,0.25,0.75
"2799","MN Samuels","R Ashwin",1,4,0.25,0.75
"2800","MN Samuels","SL Malinga",1,2,0.5,0.5
"2801","MN Samuels","VY Mahesh",1,6,0.166666666666667,0.833333333333333
"2802","MN van Wyk","A Nehra",1,9,0.111111111111111,0.888888888888889
"2803","MN van Wyk","DP Nannes",1,10,0.1,0.9
"2804","MN van Wyk","GR Napier",1,6,0.166666666666667,0.833333333333333
"2805","Mohammad Ashraful","PJ Sangwan",1,4,0.25,0.75
"2806","Mohammad Asif","DS Kulkarni",1,1,1,0
"2807","Mohammad Hafeez","IK Pathan",1,7,0.142857142857143,0.857142857142857
"2808","Mohammad Hafeez","M Ntini",1,5,0.2,0.8
"2809","Mohammad Hafeez","MM Patel",1,4,0.25,0.75
"2810","Mohammad Hafeez","P Amarnath",1,11,0.0909090909090909,0.909090909090909
"2811","Mohammad Hafeez","PP Ojha",1,4,0.25,0.75
"2812","Mohammad Hafeez","SM Pollock",1,8,0.125,0.875
"2813","Mohammad Hafeez","ST Jayasuriya",1,3,0.333333333333333,0.666666666666667
"2814","Mohammed Shami","AR Patel",1,3,0.333333333333333,0.666666666666667
"2815","Mohammed Shami","KK Cooper",1,6,0.166666666666667,0.833333333333333
"2816","Mohammed Shami","R Ashwin",1,3,0.333333333333333,0.666666666666667
"2817","MP Stoinis","AD Russell",1,3,0.333333333333333,0.666666666666667
"2818","MP Stoinis","DJ Bravo",1,6,0.166666666666667,0.833333333333333
"2819","MP Stoinis","RA Jadeja",1,12,0.0833333333333333,0.916666666666667
"2820","MP Stoinis","Z Khan",1,6,0.166666666666667,0.833333333333333
"2821","MR Marsh","A Nehra",1,4,0.25,0.75
"2822","MR Marsh","DE Bollinger",1,6,0.166666666666667,0.833333333333333
"2823","MR Marsh","DJ Bravo",1,6,0.166666666666667,0.833333333333333
"2824","MR Marsh","DW Steyn",1,11,0.0909090909090909,0.909090909090909
"2825","MR Marsh","MG Johnson",1,7,0.142857142857143,0.857142857142857
"2826","MR Marsh","PP Ojha",1,8,0.125,0.875
"2827","MR Marsh","R Bhatia",1,5,0.2,0.8
"2828","MR Marsh","R Vinay Kumar",1,10,0.1,0.9
"2829","MR Marsh","RA Jadeja",1,6,0.166666666666667,0.833333333333333
"2830","MR Marsh","RJ Harris",1,5,0.2,0.8
"2831","MR Marsh","Yuvraj Singh",1,3,0.333333333333333,0.666666666666667
"2832","MS Bisla","A Kumble",1,17,0.0588235294117647,0.941176470588235
"2833","MS Bisla","A Mishra",2,11,0.181818181818182,0.818181818181818
"2834","MS Bisla","A Nehra",2,9,0.222222222222222,0.777777777777778
"2835","MS Bisla","AA Chavan",1,20,0.05,0.95
"2836","MS Bisla","AB Agarkar",1,4,0.25,0.75
"2837","MS Bisla","AL Menaria",1,7,0.142857142857143,0.857142857142857
"2838","MS Bisla","B Kumar",1,7,0.142857142857143,0.857142857142857
"2839","MS Bisla","Harbhajan Singh",1,6,0.166666666666667,0.833333333333333
"2840","MS Bisla","JA Morkel",1,24,0.0416666666666667,0.958333333333333
"2841","MS Bisla","JH Kallis",1,22,0.0454545454545455,0.954545454545455
"2842","MS Bisla","KV Sharma",1,2,0.5,0.5
"2843","MS Bisla","KW Richardson",1,5,0.2,0.8
"2844","MS Bisla","M Kartik",1,3,0.333333333333333,0.666666666666667
"2845","MS Bisla","M Muralitharan",1,7,0.142857142857143,0.857142857142857
"2846","MS Bisla","MC Henriques",1,6,0.166666666666667,0.833333333333333
"2847","MS Bisla","NLTC Perera",1,6,0.166666666666667,0.833333333333333
"2848","MS Bisla","P Kumar",1,35,0.0285714285714286,0.971428571428571
"2849","MS Bisla","PP Chawla",2,23,0.0869565217391304,0.91304347826087
"2850","MS Bisla","PP Ojha",2,6,0.333333333333333,0.666666666666667
"2851","MS Bisla","R Rampaul",1,2,0.5,0.5
"2852","MS Bisla","R Shukla",1,1,1,0
"2853","MS Bisla","RA Jadeja",1,11,0.0909090909090909,0.909090909090909
"2854","MS Bisla","SB Jakati",1,16,0.0625,0.9375
"2855","MS Bisla","SK Warne",2,17,0.117647058823529,0.882352941176471
"2856","MS Bisla","SL Malinga",1,12,0.0833333333333333,0.916666666666667
"2857","MS Bisla","SR Watson",1,20,0.05,0.95
"2858","MS Bisla","UT Yadav",1,3,0.333333333333333,0.666666666666667
"2859","MS Bisla","WD Parnell",1,10,0.1,0.9
"2860","MS Dhoni","A Ashish Reddy",1,16,0.0625,0.9375
"2861","MS Dhoni","A Nehra",1,40,0.025,0.975
"2862","MS Dhoni","A Symonds",1,16,0.0625,0.9375
"2863","MS Dhoni","AB Dinda",2,24,0.0833333333333333,0.916666666666667
"2864","MS Dhoni","AD Russell",1,13,0.0769230769230769,0.923076923076923
"2865","MS Dhoni","AN Ahmed",1,6,0.166666666666667,0.833333333333333
"2866","MS Dhoni","D Wiese",1,11,0.0909090909090909,0.909090909090909
"2867","MS Dhoni","DL Vettori",1,28,0.0357142857142857,0.964285714285714
"2868","MS Dhoni","DP Nannes",2,3,0.666666666666667,0.333333333333333
"2869","MS Dhoni","DT Christian",1,11,0.0909090909090909,0.909090909090909
"2870","MS Dhoni","DW Steyn",2,58,0.0344827586206897,0.96551724137931
"2871","MS Dhoni","Harbhajan Singh",1,37,0.027027027027027,0.972972972972973
"2872","MS Dhoni","Harmeet Singh",1,13,0.0769230769230769,0.923076923076923
"2873","MS Dhoni","HV Patel",2,26,0.0769230769230769,0.923076923076923
"2874","MS Dhoni","Imran Tahir",1,15,0.0666666666666667,0.933333333333333
"2875","MS Dhoni","JD Unadkat",1,12,0.0833333333333333,0.916666666666667
"2876","MS Dhoni","JH Kallis",1,39,0.0256410256410256,0.974358974358974
"2877","MS Dhoni","JJ Bumrah",1,8,0.125,0.875
"2878","MS Dhoni","JP Faulkner",1,27,0.037037037037037,0.962962962962963
"2879","MS Dhoni","JR Hopes",1,16,0.0625,0.9375
"2880","MS Dhoni","KA Pollard",3,55,0.0545454545454545,0.945454545454545
"2881","MS Dhoni","KK Cooper",1,19,0.0526315789473684,0.947368421052632
"2882","MS Dhoni","L Balaji",1,25,0.04,0.96
"2883","MS Dhoni","M Morkel",1,13,0.0769230769230769,0.923076923076923
"2884","MS Dhoni","MA Khote",1,6,0.166666666666667,0.833333333333333
"2885","MS Dhoni","MG Johnson",1,34,0.0294117647058824,0.970588235294118
"2886","MS Dhoni","MM Patel",1,14,0.0714285714285714,0.928571428571429
"2887","MS Dhoni","MM Sharma",1,9,0.111111111111111,0.888888888888889
"2888","MS Dhoni","Mohammad Asif",1,16,0.0625,0.9375
"2889","MS Dhoni","NLTC Perera",1,6,0.166666666666667,0.833333333333333
"2890","MS Dhoni","NM Coulter-Nile",1,9,0.111111111111111,0.888888888888889
"2891","MS Dhoni","P Awana",1,15,0.0666666666666667,0.933333333333333
"2892","MS Dhoni","P Kumar",1,31,0.032258064516129,0.967741935483871
"2893","MS Dhoni","PP Chawla",1,42,0.0238095238095238,0.976190476190476
"2894","MS Dhoni","PP Ojha",6,100,0.06,0.94
"2895","MS Dhoni","PV Tambe",1,14,0.0714285714285714,0.928571428571429
"2896","MS Dhoni","R Bhatia",1,24,0.0416666666666667,0.958333333333333
"2897","MS Dhoni","R Rampaul",1,10,0.1,0.9
"2898","MS Dhoni","R Sharma",1,19,0.0526315789473684,0.947368421052632
"2899","MS Dhoni","R Vinay Kumar",1,27,0.037037037037037,0.962962962962963
"2900","MS Dhoni","RA Jadeja",1,18,0.0555555555555556,0.944444444444444
"2901","MS Dhoni","RE van der Merwe",2,38,0.0526315789473684,0.947368421052632
"2902","MS Dhoni","RJ Harris",1,12,0.0833333333333333,0.916666666666667
"2903","MS Dhoni","RP Singh",1,35,0.0285714285714286,0.971428571428571
"2904","MS Dhoni","S Aravind",1,7,0.142857142857143,0.857142857142857
"2905","MS Dhoni","S Sreesanth",1,9,0.111111111111111,0.888888888888889
"2906","MS Dhoni","SK Trivedi",1,33,0.0303030303030303,0.96969696969697
"2907","MS Dhoni","SK Warne",1,16,0.0625,0.9375
"2908","MS Dhoni","SL Malinga",2,56,0.0357142857142857,0.964285714285714
"2909","MS Dhoni","Sohail Tanvir",1,8,0.125,0.875
"2910","MS Dhoni","SR Watson",2,30,0.0666666666666667,0.933333333333333
"2911","MS Dhoni","TA Boult",1,11,0.0909090909090909,0.909090909090909
"2912","MS Dhoni","UT Yadav",1,23,0.0434782608695652,0.956521739130435
"2913","MS Dhoni","VR Aaron",1,8,0.125,0.875
"2914","MS Dhoni","VY Mahesh",1,10,0.1,0.9
"2915","MS Dhoni","YS Chahal",1,27,0.037037037037037,0.962962962962963
"2916","MS Dhoni","Z Khan",7,43,0.162790697674419,0.837209302325581
"2917","MS Gony","Harbhajan Singh",1,3,0.333333333333333,0.666666666666667
"2918","MS Gony","J Theron",1,4,0.25,0.75
"2919","MS Gony","JH Kallis",1,3,0.333333333333333,0.666666666666667
"2920","MS Gony","JP Faulkner",1,3,0.333333333333333,0.666666666666667
"2921","MS Gony","P Kumar",1,3,0.333333333333333,0.666666666666667
"2922","MS Gony","PP Chawla",1,6,0.166666666666667,0.833333333333333
"2923","MS Gony","R McLaren",1,1,1,0
"2924","MS Gony","RA Jadeja",1,4,0.25,0.75
"2925","MS Wade","A Mithun",1,3,0.333333333333333,0.666666666666667
"2926","MS Wade","MR Marsh",1,8,0.125,0.875
"2927","MS Wade","R Sharma",1,9,0.111111111111111,0.888888888888889
"2928","MV Boucher","CRD Fernando",1,2,0.5,0.5
"2929","MV Boucher","Harmeet Singh",1,5,0.2,0.8
"2930","MV Boucher","JA Morkel",1,10,0.1,0.9
"2931","MV Boucher","M Muralitharan",1,5,0.2,0.8
"2932","MV Boucher","MS Gony",1,2,0.5,0.5
"2933","MV Boucher","PJ Sangwan",2,12,0.166666666666667,0.833333333333333
"2934","MV Boucher","RA Jadeja",1,5,0.2,0.8
"2935","MV Boucher","RP Singh",2,6,0.333333333333333,0.666666666666667
"2936","MV Boucher","SC Ganguly",1,14,0.0714285714285714,0.928571428571429
"2937","MV Boucher","SK Warne",1,7,0.142857142857143,0.857142857142857
"2938","MV Boucher","Yuvraj Singh",1,5,0.2,0.8
"2939","N Rana","DJ Bravo",1,10,0.1,0.9
"2940","N Rana","MP Stoinis",1,6,0.166666666666667,0.833333333333333
"2941","N Rana","YS Chahal",1,4,0.25,0.75
"2942","N Saini","A Ashish Reddy",1,3,0.333333333333333,0.666666666666667
"2943","N Saini","AB McDonald",1,11,0.0909090909090909,0.909090909090909
"2944","N Saini","CJ McKay",1,3,0.333333333333333,0.666666666666667
"2945","N Saini","DJ Bravo",1,4,0.25,0.75
"2946","N Saini","DT Christian",1,2,0.5,0.5
"2947","N Saini","KMDN Kulasekara",1,2,0.5,0.5
"2948","N Saini","PP Ojha",1,6,0.166666666666667,0.833333333333333
"2949","N Saini","SW Tait",1,3,0.333333333333333,0.666666666666667
"2950","N Saini","UT Yadav",1,2,0.5,0.5
"2951","N Saini","Z Khan",1,12,0.0833333333333333,0.916666666666667
"2952","ND Doshi","P Parameswaran",1,1,1,0
"2953","NJ Maddinson","IC Pandey",1,7,0.142857142857143,0.857142857142857
"2954","NJ Maddinson","Mohammed Shami",1,4,0.25,0.75
"2955","NJ Maddinson","SL Malinga",1,4,0.25,0.75
"2956","NK Patel","CK Langeveldt",1,1,1,0
"2957","NK Patel","JD Ryder",1,2,0.5,0.5
"2958","NK Patel","MS Gony",1,2,0.5,0.5
"2959","NK Patel","PP Chawla",1,7,0.142857142857143,0.857142857142857
"2960","NL McCullum","DE Bollinger",1,5,0.2,0.8
"2961","NLTC Perera","A Chandila",1,4,0.25,0.75
"2962","NLTC Perera","A Nehra",1,5,0.2,0.8
"2963","NLTC Perera","AB Dinda",1,3,0.333333333333333,0.666666666666667
"2964","NLTC Perera","AD Russell",1,5,0.2,0.8
"2965","NLTC Perera","CJ Jordan",1,4,0.25,0.75
"2966","NLTC Perera","DJ Bravo",1,5,0.2,0.8
"2967","NLTC Perera","IK Pathan",1,1,1,0
"2968","NLTC Perera","JD Unadkat",1,11,0.0909090909090909,0.909090909090909
"2969","NLTC Perera","JH Kallis",1,2,0.5,0.5
"2970","NLTC Perera","MM Sharma",1,8,0.125,0.875
