,index,batsman,bowler,no_of_times,no_of_balls,p_out,p_not_out,bowler_cluster,batsman_cluster
151,1221,DR Smith,R Rampaul,1,7,0.142857142857143,0.857142857142857,4.0,1
152,1238,DR Smith,WD Parnell,1,9,0.111111111111111,0.888888888888889,2.0,1
153,1236,DR Smith,VR Aaron,1,5,0.2,0.8,2.0,1
154,1218,DR Smith,PP Ojha,1,14,0.0714285714285714,0.928571428571429,5.0,1
155,1213,DR Smith,MM Sharma,1,23,0.0434782608695652,0.956521739130435,5.0,1
156,1188,DR Smith,A Nehra,1,6,0.166666666666667,0.833333333333333,5.0,1
157,1201,DR Smith,Iqbal Abdulla,1,49,0.0204081632653061,0.979591836734694,2.0,1
158,1200,DR Smith,Imran Tahir,2,11,0.181818181818182,0.818181818181818,2.0,1
159,1208,DR Smith,KW Richardson,1,4,0.25,0.75,4.0,1
160,1202,DR Smith,J Syed Mohammad,1,5,0.2,0.8,4.0,1
161,1226,DR Smith,Sandeep Sharma,2,16,0.125,0.875,3.0,1
162,1206,DR Smith,KK Cooper,1,11,0.0909090909090909,0.909090909090909,2.0,1
163,1222,DR Smith,RA Jadeja,1,20,0.05,0.95,6.0,1
164,1191,DR Smith,Anureet Singh,1,1,1,0,4.0,1
165,1229,DR Smith,SK Warne,1,13,0.0769230769230769,0.923076923076923,3.0,1
166,1205,DR Smith,JP Faulkner,1,32,0.03125,0.96875,3.0,1
167,1237,DR Smith,VY Mahesh,1,4,0.25,0.75,4.0,1
168,1203,DR Smith,JA Morkel,1,36,0.0277777777777778,0.972222222222222,5.0,1
169,1234,DR Smith,ST Jayasuriya,2,19,0.105263157894737,0.894736842105263,4.0,1
170,1217,DR Smith,PP Chawla,1,8,0.125,0.875,1.0,1
171,1215,DR Smith,P Kumar,1,40,0.025,0.975,1.0,1
172,1216,DR Smith,PJ Cummins,2,10,0.2,0.8,4.0,1
173,1716,Jaskaran Singh,Harbhajan Singh,1,4,0.25,0.75,1.0,0
174,18,A Flintoff,Harbhajan Singh,1,5,0.2,0.8,1.0,0
175,17,A Flintoff,A Nehra,1,4,0.25,0.75,5.0,0
176,2365,M Manhas,M Muralitharan,1,6,0.166666666666667,0.833333333333333,3.0,3
177,2369,M Manhas,SK Trivedi,1,9,0.111111111111111,0.888888888888889,3.0,3
178,2355,M Manhas,AD Mascarenhas,1,5,0.2,0.8,4.0,3
179,2364,M Manhas,KMDN Kulasekara,1,1,1,0,0.0,3
180,2361,M Manhas,J Theron,1,13,0.0769230769230769,0.923076923076923,4.0,3
181,2370,M Manhas,SL Malinga,1,6,0.166666666666667,0.833333333333333,6.0,3
182,2360,M Manhas,DE Bollinger,1,10,0.1,0.9,2.0,3
183,2367,M Manhas,R Bhatia,1,4,0.25,0.75,5.0,3
184,2362,M Manhas,JH Kallis,1,6,0.166666666666667,0.833333333333333,5.0,3
185,2374,M Manhas,WA Mota,1,2,0.5,0.5,0.0,3
186,2354,M Manhas,A Mishra,1,2,0.5,0.5,1.0,3
187,2368,M Manhas,R Sharma,1,10,0.1,0.9,2.0,3
188,2359,M Manhas,CH Gayle,1,1,1,0,2.0,3
189,2373,M Manhas,V Pratap Singh,1,4,0.25,0.75,4.0,3
190,2356,M Manhas,AM Nayar,1,4,0.25,0.75,4.0,3
191,2358,M Manhas,BJ Hodge,1,4,0.25,0.75,4.0,3
192,2372,M Manhas,SW Tait,1,5,0.2,0.8,4.0,3
193,2357,M Manhas,AN Ahmed,1,1,1,0,4.0,3
194,2371,M Manhas,ST Jayasuriya,1,1,1,0,4.0,3
195,2366,M Manhas,P Kumar,1,12,0.0833333333333333,0.916666666666667,1.0,3
