id,player_name,batting_average,strike_rate
386,S Sreesanth,8.5,61.82
387,S Sriram,15.5,86.11
388,S Tyagi,3,75
389,S Vidyut,18.13,133.03
390,SA Abbott,7.5,115.38
391,SA Asnodkar,21.15,124.78
392,SA Yadav,26.67,131.92
393,SB Bangar,7,84.48
394,SB Jakati,28,96.55
395,SB Joshi,3,42.86
396,SB Styris,18.71,98.5
397,SB Wagh,1,66.67
398,SC Ganguly,25.45,106.81
399,SD Chitnis,14.14,111.24
400,SE Bond,1,50
401,SE Marsh,39.95,132.74
402,SJ Srivastava,5,100
403,SK Raina,34.38,138.43
404,SK Trivedi,6,71.19
405,SK Warne,9.9,92.52
406,SL Malinga,5.5,88.89
407,SM Harwood,,64.29
408,SM Katich,24.1,129.57
409,SM Pollock,18.38,132.43
410,SMSM Senanayake,10,58.82
411,SN Khan,20.73,159.44
412,SN Thakur,7.33,157.14
413,SP Fleming,21.78,118.79
414,SP Goswami,16.28,100.69
415,SP Jackson,19,122.58
416,SP Narine,17.44,168.82
417,SPD Smith,37.02,131.71
418,SR Tendulkar,34.84,119.82
419,SR Watson,32.42,141.2
420,SS Iyer,30.45,129.85
421,SS Shaikh,6,85.71
422,SS Tiwary,28.36,119.59
423,ST Jayasuriya,27.43,144.36
424,STR Binny,18.84,125.97
425,SV Samson,26.67,127.35
426,SW Billings,18.56,135.77
427,SW Tait,7.67,88.46
428,Sachin Baby,17.13,135.64
429,Salman Butt,27.57,119.88
430,Sandeep Sharma,8.67,66.67
431,Shahid Afridi,10.13,176.09
432,Shakib Al Hasan,21.68,127.29
433,Shivam Mavi,4.33,86.67
434,Shivam Sharma,5,166.67
435,Shoaib Ahmed,0.5,16.67
436,Shoaib Akhtar,2,28.57
437,Shoaib Malik,13,110.64
438,Shubman Gill,33.83,146.04
439,Sohail Tanvir,12,124.14
440,Sunny Gupta,0,0
441,Sunny Singh,10.75,138.71
442,Swapnil Singh,4,60
443,T Henderson,5.5,68.75
444,T Kohli,3.67,57.89
445,T Taibu,10.33,119.23
