PR Shah,2,-,-,-,-,-,-,-,-,-,-,-,0,1
DJM Short,7,2,3,0,19,1,1/10,19,6.33,18,0,0,2,0
R Shukla,3,3,8,0,79,3,2/28,26.33,9.87,16,0,0,2,0
A Singh,23,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,1,0
GC Smith,25,-,-,-,-,-,-,-,-,-,-,-,6,0
SPD Smith,24,-,-,-,-,-,-,-,-,-,-,-,16,0
IS Sodhi,6,6,23,0,135,5,1/14,27,5.86,27.6,0,0,0,0
Sohail Tanvir,11,11,41.1,0,266,22,6/14,12.09,6.46,11.2,1,1,4,0
TG Southee,10,10,38,1,323,6,2/32,53.83,8.5,38,0,0,6,0
BB Sran,1,1,3,0,35,0,-,-,11.66,-,0,0,0,0
S Sreesanth,7,7,21.4,2,163,5,2/20,32.6,7.52,26,0,0,0,0
BA Stokes,13,12,37,1,303,8,3/15,37.87,8.18,27.7,0,0,6,0
SW Tait,21,21,78.5,1,640,23,3/13,27.82,8.11,20.5,0,0,6,0
PV Tambe,26,26,94,0,710,23,4/20,30.86,7.55,24.5,1,0,3,0
LRPL Taylor,12,1,1,0,11,0,-,-,11,-,0,0,4,0
R Tewatia,4,4,12,0,90,3,1/17,30,7.5,24,0,0,0,0
J Theron,1,1,4,0,40,1,1/40,40,10,24,0,0,0,0
RA Tripathi,12,-,-,-,-,-,-,-,-,-,-,-,4,0
SK Trivedi,76,75,251,2,1904,65,4/25,29.29,7.58,23.1,1,0,14,0
JD Unadkat,15,15,50.2,0,486,11,3/46,44.18,9.65,27.4,0,0,6,0
A Uniyal,2,2,6,0,66,2,2/41,33,11,18,0,0,0,0
PC Valthaty,2,-,-,-,-,-,-,-,-,-,-,-,0,0
AC Voges,9,7,9,0,76,0,-,-,8.44,-,0,0,1,0
SB Wagh,1,1,1,0,16,1,1/16,16,16,6,0,0,0,0
SK Warne,55,54,199,1,1447,57,4/21,25.38,7.27,20.9,1,0,16,0
SR Watson,78,70,226.5,3,1701,61,3/10,27.88,7.49,22.3,0,0,21,0
DH Yagnik,25,-,-,-,-,-,-,-,-,-,-,-,12,5
Younis Khan,1,-,-,-,-,-,-,-,-,-,-,-,1,0
